datetime,Volume,VWAP,OBV,Cumulative_Return
2024-06-04 17:30:00,4339850,217.4829428995097,32801254336,-0.08729095372472728
2024-06-04 18:30:00,7684661,217.4730818598233,32801254335,-0.09281434861780624
2024-06-04 19:30:00,4660211,217.4669579925581,32801254334,-0.09807970204560668
2024-06-05 13:30:00,20028018,217.4401736758844,32801254333,-0.102157245553871
2024-06-05 14:30:00,9141849,217.4282844999969,32819538030,-0.09616920273537133
2024-06-05 15:30:00,7481746,217.4186606339316,32834501521,-0.09389172687240921
2024-06-05 16:30:00,4811381,217.412476791182,32844124282,-0.09379515824101992
2024-06-05 17:30:00,4620664,217.4064476171021,32844124281,-0.097150012358585
2024-06-05 18:30:00,4314752,217.4007928912939,32844124280,-0.09817367135820643
2024-06-05 19:30:00,3624987,217.3960720205806,32851374253,-0.09684077218987819
2024-06-06 13:30:00,18902092,217.3707885409491,32851374252,-0.1029320788548309
2024-06-06 14:30:00,7315477,217.3611592223638,32866005205,-0.09952563219765731
2024-06-06 15:30:00,6857842,217.3524431534301,32879720888,-0.09198847414789013
2024-06-06 16:30:00,11637453,217.3384061084741,32902995793,-0.08119917445635849
2024-06-06 17:30:00,10403777,217.3259611697716,32923803346,-0.07965108319915937
2024-06-06 18:30:00,5898321,217.3189633515197,32935599987,-0.078102440571308
2024-06-06 19:30:00,5846036,217.3119136965849,32935599986,-0.08145776729228937
2024-06-07 13:30:00,17602305,217.2909449237938,32970804595,-0.07913539410478254
2024-06-07 14:30:00,9481418,217.2796450547393,32970804594,-0.07939296296664489
2024-06-07 15:30:00,5874835,217.2726680129961,32982554263,-0.07878275318901595
2024-06-07 16:30:00,5697717,217.2657349835047,32982554262,-0.08378069185044867
2024-06-07 17:30:00,5976517,217.2582386723786,32982554261,-0.09018171128752439
2024-06-07 18:30:00,4637943,217.2525763721495,32991830146,-0.08460664508760085
2024-06-07 19:30:00,3960904,217.2477503918517,32999751953,-0.08424533977586923
2024-06-10 13:30:00,14101822,217.2302989978071,32999751952,-0.0875893240148603
2024-06-10 14:30:00,7841860,217.2204075938353,32999751951,-0.09175611080156199
2024-06-10 15:30:00,4879958,217.2142270248164,32999751950,-0.09271116353858955
2024-06-10 16:30:00,5389855,217.2072546441894,32999751949,-0.09735701265490782
2024-06-10 17:30:00,5312827,217.2002008202548,32999751948,-0.1031901990873459
2024-06-10 18:30:00,5475787,217.1931453618856,33010703521,-0.09663432326420862
2024-06-10 19:30:00,3939643,217.187925126671,33010703520,-0.1028804863152228
2024-06-11 13:30:00,21259041,217.1571603552718,33010703519,-0.1237094579128601
2024-06-11 14:30:00,9834691,217.1425389695197,33010703518,-0.1306401082450924
2024-06-11 15:30:00,8017373,217.1304871948699,33010703517,-0.1335690679173703
2024-06-11 16:30:00,6208819,217.1213161528235,33023121154,-0.1292587672265975
2024-06-11 17:30:00,5546817,217.1133541429116,33034214787,-0.1222899147848842
2024-06-11 18:30:00,5815826,217.1049465652052,33034214786,-0.1241048694377986
2024-06-11 19:30:00,4763283,217.0981936660654,33043741351,-0.1194507497616958
2024-06-12 13:30:00,23229510,217.0690452915247,33090200370,-0.09204006668749898
2024-06-12 14:30:00,15551335,217.0507472815312,33121303039,-0.07903157888767742
2024-06-12 15:30:00,13951085,217.0345675911736,33149205208,-0.07634734901778673
2024-06-12 16:30:00,6682099,217.0268290292365,33162569405,-0.07619241386448905
2024-06-12 17:30:00,8775301,217.0170366756179,33180120006,-0.06912037634355872
2024-06-12 18:30:00,9908220,217.0053011352506,33180120005,-0.08086417740146568
